gender,agreeableness,conscientiousness,performance
Female,4.4,4.2,4.4
Male,5.6,4.8,3.8
Female,5.4,5.2,2.6
Female,4.8,5.2,5.2
Female,5.0,3.8,3.8
Female,5.4,5.0,5.2
Male,4.6,4.2,5.0
Male,4.6,4.6,4.8
Male,3.4,4.2,3.2
Male,4.0,3.2,3.0
Female,5.6,5.0,4.8
Female,6.0,5.6,4.8
Female,4.8,4.6,5.0
Female,3.0,4.4,3.6
Female,5.0,4.8,4.6
Male,3.0,5.6,3.8
Male,3.2,3.2,3.8
Male,4.2,2.8,4.0
Female,4.4,5.4,4.6
Male,4.2,2.8,4.6
Male,5.2,4.0,2.8
Male,5.2,5.0,5.6
Female,4.0,4.8,2.6
Female,5.4,5.2,4.6
Female,4.4,3.4,3.4
Male,4.0,4.6,4.4
Male,3.2,5.0,2.4
Male,4.8,5.2,3.2
Female,5.6,5.2,5.2
Female,5.6,4.0,5.8
Female,6.0,5.5,5.2
Male,4.8,4.0,4.6
Female,4.6,4.6,3.6
Female,5.8,5.2,5.2
Female,5.75,5.0,4.2
Male,5.0,4.0,5.6
Female,5.0,3.2,5.8
Female,5.0,5.8,5.4
Male,4.2,4.2,2.2
Female,5.2,5.0,5.4
Male,4.6,4.8,3.6
Male,4.8,4.2,3.0
Male,4.4,4.5,3.8
Female,5.6,5.8,5.4
Female,5.4,4.0,4.0
Male,3.6,3.6,3.2
Female,5.2,5.6,5.2
Male,4.2,4.4,5.2
Female,5.8,4.8,4.8
Female,4.2,4.2,4.2
Female,4.6,4.6,4.8
Male,4.6,3.0,5.0
Female,3.8,4.0,4.6
Female,4.2,3.6,3.2
Female,2.8,3.2,5.4
Male,3.8,3.6,3.8
Female,4.2,4.2,4.8
Male,4.6,4.8,2.8
Male,5.4,4.6,5.2
Male,4.0,3.0,3.8
Female,5.0,5.2,3.25
Female,3.4,3.6,4.2
Male,3.4,3.6,4.6
Male,5.0,2.0,4.4
Female,4.4,5.4,3.8
Female,3.8,4.0,4.0
Male,5.2,3.2,4.8
Female,5.2,4.4,2.8
Male,5.8,4.4,5.6
Male,4.4,3.6,4.0
Female,5.6,5.6,5.8
Female,5.0,4.6,3.6
Male,5.8,4.8,4.2
Female,4.6,5.0,5.2
Male,4.8,4.0,4.2
Female,5.2,5.0,4.0
Female,4.0,3.0,2.4
Female,5.6,4.6,5.0
Female,4.8,5.0,4.2
Female,3.6,2.2,4.8
Female,5.4,4.8,2.4
Male,3.2,3.2,3.4
Female,5.4,3.4,5.0
Female,3.25,3.6,3.8
Male,4.8,4.0,5.4
Male,5.0,4.6,4.0
Female,4.4,3.4,4.6
Male,4.8,5.6,4.6
Female,4.2,2.6,1.4
Male,3.4,4.4,4.8
Female,4.0,4.4,4.4
Female,3.6,3.0,5.0
Female,4.6,4.6,5.4
Female,4.6,4.2,3.6
Female,3.0,4.0,3.2
Female,4.6,4.4,4.6
Female,4.8,3.6,5.4
Female,6.0,4.2,4.8
Male,4.2,5.6,4.4
Male,5.2,3.8,4.8
Male,3.0,4.2,4.6
Male,2.4,1.0,2.2
Female,3.6,3.8,3.4
Female,4.4,5.8,4.8
Male,4.0,3.2,3.8
Male,5.2,3.8,5.4
Male,2.6,5.6,3.6
Female,6.0,3.6,5.8
Female,5.2,4.2,5.0
Male,2.4,6.0,5.8
Female,4.4,3.8,4.8
Female,4.4,5.4,5.0
Female,5.8,5.4,5.6
Female,5.0,4.6,5.4
Female,5.2,5.0,5.4
Female,6.0,4.8,4.8
Male,4.0,3.2,4.6
Female,3.8,3.2,3.0
Female,5.0,4.4,3.6
Male,4.8,3.4,5.0
Female,5.0,3.4,4.8
Male,4.6,4.8,4.8
Female,3.8,3.4,4.2
Female,4.4,2.2,3.8
Female,4.6,3.2,5.2
Female,6.0,5.0,6.0
Female,5.4,5.0,5.4
Female,4.2,4.8,4.0
Male,4.8,5.0,5.6
Female,4.2,4.4,4.0
Male,4.2,4.4,3.8
Female,5.4,5.6,3.8
Female,4.2,5.5,4.8
Female,5.0,4.0,4.4
Male,5.2,5.25,4.8
Female,5.2,3.0,3.8
Male,3.4,4.8,4.0
Female,4.0,3.8,4.4
Female,5.0,4.4,5.4
Female,5.8,5.4,5.6
Female,5.8,5.8,4.8
Female,4.6,3.4,4.6
Female,4.2,4.0,3.6
Male,4.8,4.4,5.0
Male,3.6,4.8,4.8
Male,2.8,5.8,4.4
Male,2.4,6.0,4.2
Male,4.6,3.4,4.2
Male,4.8,4.6,3.0
Female,4.4,2.0,4.6
Male,3.2,1.6,4.6
Male,5.8,4.2,4.8
Female,5.0,3.6,4.2
Female,4.6,3.0,3.2
Female,4.8,4.25,4.6
Female,5.2,3.8,4.0
Female,4.8,3.8,5.25
Male,4.2,2.4,3.0
Female,5.4,5.4,4.6
Female,4.6,4.2,2.6
Female,5.6,5.2,5.0
Male,4.2,4.0,5.2
Female,5.0,5.0,4.0
Female,3.8,2.8,2.8
Male,4.75,4.4,5.0
Female,4.4,2.0,4.8
Male,5.4,5.4,4.4
Female,5.2,2.8,4.4
Male,6.0,5.6,5.6
Male,5.0,4.8,3.0
Female,3.6,4.2,3.8
Female,5.4,5.4,5.2
Female,2.6,4.6,4.2
Male,4.6,3.0,1.8
Female,5.0,5.0,4.2
Male,4.8,4.8,5.0
Female,5.4,4.8,4.8
Male,4.4,3.6,3.2
Female,3.8,3.0,2.4
Female,3.8,4.6,5.2
Female,5.4,4.4,4.4
Female,5.0,6.0,5.0
Female,5.0,2.6,2.4
Male,3.2,4.0,2.6
Female,5.2,4.8,5.2
Female,5.2,3.8,3.2
Male,5.4,3.0,4.8
Female,4.4,5.0,3.2
Female,4.4,4.0,4.4
Female,4.8,4.8,1.8
Female,4.6,4.6,5.4
Female,3.2,4.2,3.6
Female,3.2,6.0,4.0
Female,2.2,3.6,2.2
Female,3.4,2.6,3.4
Female,5.8,5.0,4.6
Female,4.6,2.8,3.4
Female,5.0,4.4,5.0
Male,3.6,4.2,2.6
Female,3.8,2.4,1.2
Female,4.6,5.4,5.0
Female,4.6,4.2,5.6
Female,3.8,4.6,3.2
Female,4.2,3.6,3.5
Female,5.2,5.2,5.0
Male,4.8,4.8,4.6
Male,4.4,4.8,3.4
Female,4.25,5.0,3.6
Female,5.2,3.0,3.6
Female,4.4,3.8,5.2
Male,5.2,4.0,4.0
Female,5.2,3.8,4.6
Male,5.2,4.6,5.6
Female,4.6,4.0,5.4
Female,5.8,5.6,4.6
Female,4.2,5.4,1.6
Female,4.6,2.8,3.2
Male,3.8,2.8,3.6
Female,4.4,3.2,3.6
Female,5.8,4.4,5.2
Female,4.6,5.4,4.8
Female,4.6,3.0,5.0
Male,4.6,5.0,5.4
Male,4.4,3.6,3.6
Female,5.4,5.4,3.4
Male,4.2,3.5,4.2
Male,4.8,4.6,4.2
Male,5.6,4.4,5.2
Female,5.8,4.8,4.6
Male,4.0,2.8,5.0
Male,3.8,5.0,5.8
Female,5.0,2.4,3.0
Male,2.0,5.2,2.6
Female,4.2,5.2,2.8
Female,4.4,3.6,3.4
Female,5.2,6.0,5.2
Female,6.0,4.4,4.4
Female,3.2,1.8,3.4
Female,5.6,5.6,5.8
Female,4.8,3.8,3.75
Female,5.6,4.6,5.0
Female,5.4,5.4,5.2
Male,4.0,2.4,1.2
Female,3.8,3.8,2.0
Female,5.4,5.4,3.6
Male,4.0,5.4,4.4
Male,3.8,4.2,4.8
Female,5.6,4.4,5.2
Male,4.4,4.4,3.6
Female,4.4,3.0,3.4
Male,3.8,4.0,5.6
Female,5.4,3.4,4.0
Male,5.4,4.6,3.0
Male,4.8,4.0,4.6
Female,4.8,5.2,4.4
Female,4.6,3.8,4.2
Male,4.6,3.8,3.2
Female,3.6,3.6,5.0
Female,4.8,3.6,4.0
Female,4.2,5.8,3.4
Female,5.2,3.4,3.2
Male,4.0,4.0,2.8
Female,5.0,4.6,4.6
Female,5.0,4.4,4.4
Female,5.2,3.6,4.2
Male,5.8,3.8,2.6
Female,4.0,4.6,4.2
Male,4.6,3.2,4.6
Male,5.2,3.8,4.2
Male,4.8,2.6,3.2
Female,3.0,3.4,4.6
Female,6.0,4.0,5.0
Female,5.4,3.2,4.0
Female,4.6,2.6,4.4
Female,5.6,5.6,4.8
Female,4.0,4.4,5.0
Female,4.8,4.6,3.4
Female,5.0,5.6,4.6
Female,5.8,5.25,5.0
Female,3.2,5.4,1.6
Female,5.6,4.75,3.6
Male,5.2,3.2,2.6
Female,5.0,3.8,4.8
Female,5.4,3.2,4.4
Female,5.8,5.0,5.4
Male,4.8,5.8,4.2
Female,5.4,5.4,3.8
Female,6.0,4.6,5.6
Female,5.4,2.8,3.4
Male,4.8,4.4,3.2
Male,4.0,5.6,4.2
Female,5.4,3.2,5.2
Female,4.8,3.8,5.0
Female,4.4,3.8,3.2
Male,2.6,3.0,2.6
Female,5.4,4.0,4.8
Female,4.8,4.2,5.0
Male,4.6,6.0,5.0
Male,5.0,4.0,4.8
Male,4.8,4.0,4.2
Male,4.8,3.8,4.6
Female,5.2,3.8,4.0
Female,4.0,3.6,3.2
Male,3.8,3.6,2.25
Female,3.4,4.4,3.0
Female,5.4,4.8,4.0
Female,5.2,3.8,3.4
Female,4.6,2.2,4.0
Female,5.0,1.0,3.6
Female,4.6,4.0,3.2
Female,5.2,5.2,5.0
Female,6.0,6.0,5.4
Female,4.8,4.6,4.4
Female,5.4,4.2,5.2
Male,5.6,5.2,4.8
Female,4.6,4.8,2.8
Female,5.75,4.25,5.2
Male,3.4,4.4,2.6
Male,5.4,2.8,5.4
Female,4.4,5.0,3.0
Female,4.8,5.4,4.6
Female,5.2,3.6,4.8
Female,5.2,3.8,4.8
Female,4.4,5.6,4.8
Female,5.2,3.2,4.4
Female,5.0,5.2,5.0
Female,5.4,5.2,3.4
Female,5.4,4.6,4.8
Female,5.8,4.6,5.4
Male,4.0,3.0,4.0
Male,4.4,3.4,3.8
Female,4.6,5.6,4.0
Female,6.0,4.8,5.5
Male,4.6,5.2,5.2
Male,4.8,5.2,3.0
Female,4.4,6.0,5.6
Female,4.6,3.6,1.8
Female,2.0,4.8,2.0
Female,4.6,3.4,3.2
Male,4.4,3.4,4.8
Female,6.0,3.8,5.2
Male,5.6,3.4,5.0
Female,3.4,4.0,1.4
Female,4.8,4.6,3.8
Male,4.2,3.6,3.2
Female,4.6,4.2,3.8
Female,4.8,4.2,5.4
Male,4.2,4.4,3.6
Female,3.6,4.8,3.4
Female,5.0,5.4,5.6
Male,3.0,4.0,2.6
Female,5.0,5.2,4.4
Female,3.0,4.8,4.0
Female,6.0,6.0,6.0
Female,3.6,4.8,3.0
Female,4.8,4.8,5.4
Male,3.4,4.4,4.75
Male,5.8,4.0,6.0
Female,5.0,5.6,4.6
Female,5.0,3.2,5.6
Male,1.4,3.0,1.6
Male,4.8,5.2,3.6
Male,4.0,3.4,3.5
Female,4.0,3.6,2.6
Female,5.6,6.0,3.2
Male,5.6,3.2,3.6
Male,4.8,5.4,4.0
Male,4.0,3.0,3.4
Female,2.2,4.6,4.6
Male,4.0,4.8,2.8
Male,4.0,3.6,2.4
Male,4.4,3.8,3.2
Female,4.8,4.6,5.0
Male,4.6,3.75,5.0
Female,2.2,4.4,3.8
Female,3.8,4.0,3.8
Female,2.6,3.8,4.2
Female,5.0,3.6,4.8
Male,3.6,2.8,3.2
Male,4.4,3.2,3.6
Female,5.2,4.4,4.2
Male,3.4,5.0,3.8
Female,5.6,5.0,4.4
Female,4.8,4.6,4.2
Male,3.6,3.6,3.6
Female,5.6,4.6,4.8
Female,6.0,3.2,5.4
Female,5.4,5.6,5.4
Female,6.0,5.4,5.4
Female,4.6,3.6,5.6
Female,4.6,4.2,2.8
Male,4.6,4.8,5.0
Male,4.2,4.2,3.2
Female,5.2,5.2,3.8
Female,6.0,5.6,6.0
Male,3.8,3.2,2.6
Male,4.0,3.8,2.6
Male,4.6,2.0,5.2
Male,2.6,2.6,3.0
Female,5.8,5.4,5.4
Female,5.2,2.4,3.4
Female,4.6,3.2,4.2
Male,5.75,3.0,5.6
Female,3.6,2.4,2.8
Female,5.8,5.2,5.0
Male,4.4,4.6,1.0
Male,4.4,4.0,4.0
Female,5.6,3.8,3.8
Female,3.0,4.2,3.4
Male,5.75,4.6,5.8
Male,3.8,3.4,2.6
Female,5.8,3.8,3.6
Male,5.2,5.6,5.2
Female,4.4,4.8,3.0
Female,4.8,4.6,5.4
Female,4.8,4.6,4.0
Male,4.2,3.6,2.2
Female,4.4,3.2,2.8
Female,2.8,4.8,2.8
Male,4.2,3.4,1.2
Female,3.6,5.0,4.2
Female,4.4,3.6,4.0
Female,5.4,4.2,3.5
Female,4.4,3.4,4.6
Female,3.5,3.5,3.5
Male,3.6,3.4,3.8
Male,4.0,3.8,3.8
Female,4.4,3.2,3.0
Female,4.4,2.2,3.6
Female,5.0,5.0,6.0
Female,5.2,5.0,5.2
Female,4.6,3.8,4.6
Female,5.4,5.4,4.6
Male,5.4,3.8,4.2
Female,4.6,3.8,3.8
Female,5.4,4.6,4.0
Female,4.6,6.0,5.4
Male,5.0,5.4,5.4
Female,5.0,5.4,3.0
Female,6.0,5.0,3.8
Female,6.0,3.6,4.4
Female,6.0,5.6,5.0
Female,6.0,5.2,6.0
Female,4.0,3.0,3.4
Male,4.4,4.5,4.4
Female,3.4,3.0,1.0
Male,4.4,5.4,4.6
Female,3.8,3.0,3.4
Female,4.8,3.0,3.4
Female,5.2,4.8,4.6
Male,4.6,3.2,2.6
Male,4.2,4.0,3.0
Female,4.2,3.4,4.0
Female,3.8,3.0,1.4
Female,5.6,3.4,3.0
Male,5.4,5.25,5.4
Female,6.0,5.6,5.0
Female,5.4,2.0,5.6
Female,5.4,3.6,4.2
Female,3.4,5.0,5.6
Female,4.2,3.8,3.0
Female,4.6,3.0,5.0
Female,2.6,5.8,3.2
Female,5.2,5.0,4.8
Female,2.6,5.2,1.8
Female,5.2,3.6,3.8
Female,5.6,3.4,5.8
Female,2.8,5.8,4.8
Female,4.8,2.4,4.8
Male,2.8,3.8,3.0
Female,5.4,2.4,5.0
Female,3.6,2.0,3.8
Female,4.6,4.6,4.8
Male,3.8,3.6,3.4
Female,5.75,4.4,5.8
Male,4.6,3.4,4.8
Female,4.4,4.4,3.8
Male,4.8,4.4,3.4
Female,5.4,4.4,3.8
Female,4.2,4.4,5.6
Female,5.8,4.6,5.6
Male,5.2,4.6,3.6
Female,5.8,3.8,4.2
Female,4.8,3.6,4.2
Female,4.6,2.0,5.0
Female,5.4,2.0,5.6
Female,5.6,6.0,5.0
Male,2.4,2.2,1.2
Male,4.0,3.2,3.8
Female,5.6,4.2,3.4
Male,3.4,3.4,3.4
Female,2.6,4.4,3.8
Female,3.6,4.4,4.0
Male,4.8,3.4,4.8
Female,4.8,3.0,4.0
Female,5.0,4.2,4.8
Female,5.2,3.8,4.6
Female,5.4,5.0,4.8
Male,2.6,3.0,1.0
Female,4.8,3.8,5.0
Female,3.6,4.8,4.0
Female,4.0,3.0,3.6
Female,5.4,5.2,4.4
Female,5.4,2.2,4.8
Male,5.4,5.4,4.2
Male,3.8,4.0,4.4
Female,5.6,4.6,4.4
Female,2.2,2.4,2.2
Female,5.6,5.2,5.2
Female,5.4,3.2,4.0
Male,5.6,5.8,5.6
Female,4.75,4.8,1.4
Female,4.8,4.0,5.6
Male,3.4,4.8,4.2
Female,4.6,3.8,4.0
Female,4.6,1.0,3.4
Female,5.0,3.2,5.2
Female,5.4,5.2,5.2
Female,5.0,4.4,5.8
Male,2.6,1.2,2.4
Female,5.2,3.6,2.6
Male,5.0,5.0,4.2
Female,3.6,2.8,2.8
Male,4.0,3.2,3.75
Male,4.8,3.2,5.2
Female,5.8,4.8,3.8
Male,3.4,2.4,4.4
Female,6.0,3.8,4.8
Female,5.8,4.6,5.8
Female,5.0,2.8,4.4
Female,3.4,3.0,1.8
Female,5.0,5.5,4.0
Male,4.0,4.0,2.8
Male,5.0,5.0,4.4
Male,4.0,2.4,4.6
Female,4.6,5.2,4.2
Female,4.8,2.4,2.4
Female,4.0,5.0,4.0
Male,4.4,2.8,2.25
Male,4.4,4.8,5.2
Male,5.4,5.4,5.0
Male,4.2,3.0,2.4
Male,5.4,3.8,5.4
Female,4.8,4.4,3.6
Male,3.6,4.8,3.2
Female,3.8,4.0,2.0
Female,5.4,4.8,4.4
Male,4.4,4.6,4.6
Female,3.0,4.8,2.6
Female,5.0,5.5,4.6
Female,6.0,5.0,5.6
Female,5.8,4.8,4.6
Male,4.4,5.6,6.0
Female,5.8,5.75,3.8
Female,4.0,4.0,2.6
Female,4.6,3.6,3.0
Male,3.6,3.6,4.0
Male,5.2,4.2,4.6
Male,4.8,5.2,4.0
Female,2.8,4.2,5.6
Female,4.2,3.8,5.4
Female,4.8,4.2,4.4
Female,6.0,4.6,5.0
Female,4.4,4.8,4.4
Male,3.6,3.6,3.6
Female,3.4,4.8,4.0
Female,3.4,4.8,4.6
Male,4.2,4.4,4.4
Female,5.2,4.6,5.2
Female,6.0,6.0,4.4
Female,3.4,4.8,4.4
Male,4.8,5.0,3.8
Male,5.8,3.4,4.8
Female,5.0,4.6,3.6
Female,5.4,3.6,4.4
Male,4.6,3.4,3.8
Female,4.2,4.4,4.8
Male,5.6,5.6,6.0
Female,5.2,3.8,4.8
Male,3.2,5.2,4.4
Female,5.0,4.2,5.2
Female,5.4,3.6,4.2
Female,5.0,5.4,5.4
Female,4.4,2.0,2.0
Male,5.0,4.0,4.0
Male,5.0,3.4,2.0
Female,4.2,5.2,4.6
Female,4.6,3.6,4.4
Female,4.2,5.0,1.8
Female,5.4,3.6,3.8
Female,4.2,5.2,3.4
Male,4.6,5.2,4.8
Female,5.0,3.8,4.2
Female,4.0,3.8,3.8
Female,4.5,4.4,4.6
Male,4.5,4.0,3.8
Female,4.2,3.8,5.2
Male,3.6,5.0,2.0
Male,4.2,2.6,2.2
Male,4.2,4.0,4.6
Male,4.4,2.6,4.2
Male,2.8,2.8,1.4
Female,4.8,4.4,4.0
Male,3.0,1.0,3.4
Male,4.6,3.2,3.2
Female,5.8,4.6,5.4
Female,5.0,5.4,2.2
Male,4.0,4.6,4.4
Female,4.8,5.4,4.6
Male,5.2,3.0,4.0
Male,3.2,3.8,2.6
Male,2.6,2.8,1.2
Female,6.0,3.8,4.0
Female,4.6,4.6,4.0
Female,5.4,5.6,4.6
Male,3.8,6.0,5.0
Female,5.6,4.2,4.0
Female,5.0,5.6,6.0
Male,4.4,5.0,4.8
Male,3.6,4.2,4.6
Female,4.8,3.8,4.0
Female,4.6,3.8,4.4
Female,6.0,3.8,4.4
Male,4.4,4.6,5.4
Male,5.4,4.4,5.0
Male,5.2,5.2,4.2
Male,4.0,4.8,3.8
Male,4.6,2.4,4.6
Female,4.2,3.8,2.8
Male,5.2,5.2,4.8
Female,3.8,4.4,3.4
Female,5.2,5.2,4.6
Male,2.8,2.8,4.0
Female,4.6,5.2,4.6
Female,4.4,2.4,4.8
Male,4.8,2.6,1.6
Female,4.4,3.8,3.2
Female,5.25,4.6,4.2
Male,4.0,3.2,4.0
Female,4.8,2.4,5.2
Female,4.0,3.8,3.0
Female,5.0,3.6,4.8
Female,5.2,5.8,4.2
Male,4.8,3.3333333333333335,5.2
Female,5.75,4.8,3.6
Female,5.0,4.6,4.2
Female,4.8,4.6,5.2
Male,4.6,3.4,3.75
Male,4.8,4.8,5.0
Female,4.2,3.2,6.0
Female,4.2,4.8,4.6
Male,4.0,2.4,2.6
Female,5.6,5.6,5.4
Male,3.8,5.6,6.0
Male,5.4,4.0,3.8
Female,5.4,4.8,3.8
Female,5.25,4.8,5.4
Female,5.2,4.0,5.5
Male,4.8,5.0,4.8
Male,4.4,3.2,2.6
Male,4.8,5.6,2.0
Female,2.8,4.8,2.0
Female,3.0,5.0,3.0
Female,3.6,3.0,4.4
Female,5.0,3.8,2.2
Male,4.2,3.8,3.8
Female,4.2,5.6,5.2
Female,5.8,6.0,3.6
Male,5.0,5.2,2.0
Female,5.4,4.6,5.0
Female,4.4,4.8,4.4
Female,4.6,3.4,4.4
Female,6.0,5.4,4.8
Male,5.0,4.4,3.8
Male,2.2,6.0,3.8
Female,5.6,3.8,4.4
Female,6.0,2.6,5.2
Male,5.0,4.8,5.6
Male,2.6,4.6,3.4
Female,4.0,3.6,4.2
Male,4.2,5.4,4.6
Male,6.0,5.6,4.0
Female,5.4,2.4,5.6
Female,5.8,3.0,6.0
Female,5.6,3.6,4.8
Female,4.8,6.0,2.8
Female,1.2,4.4,1.4
Male,5.8,4.0,5.0
Male,4.0,3.6,3.8
Female,6.0,5.4,5.2
Female,4.6,2.6,3.6
Male,5.8,4.8,5.8
Female,5.8,4.8,4.2
Male,4.0,2.8,3.8
Female,3.0,2.6,3.6
Female,5.8,4.4,4.4
Female,5.2,4.6,4.4
Female,5.6,5.4,3.6
Female,4.2,4.2,3.6
Female,5.0,4.4,4.2
Female,5.8,3.8,4.5
Female,2.4,4.2,3.6
Male,3.4,3.4,3.6
Male,3.6,5.0,4.0
